14:34:52:468 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:34:59:590 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:35:58:698 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:35:58:701 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:36:02:043 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:36:06:801 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:37:25:570 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:37:25:573 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:37:28:838 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:37:28:853 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:37:41:354 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
14:39:32:236 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:39:32:242 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:39:36:078 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:40:18:625 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:40:18:627 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:40:21:990 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:40:28:234 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:40:55:131 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
14:40:57:322 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
16:26:05:543 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
16:26:05:547 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
16:26:10:537 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
16:26:10:548 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
16:26:23:556 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
16:26:23:601 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
16:26:23:735 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
16:27:15:323 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
16:27:15:326 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
16:27:18:784 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
16:27:18:796 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
16:28:01:819 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
16:29:21:901 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
16:29:21:905 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
16:29:25:336 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
